,기업명,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
201,피엠티(2021/12),605.0,102.0,79.0,701.0,557.0,54.0,101.0,30.0,54.0,16.93,12.99,15.19,11.53,25.9,726.0,12.28,5148.0,1.73,10819866.0
202,피엠티(2022/12),382.0,-52.0,-54.0,615.0,516.0,54.0,-24.0,-92.0,54.0,-13.67,-14.24,-10.15,-8.27,19.17,-503.0,-9.04572564612326,4772.0,0.95,10819866.0
203,피엠티(2023/12),330.0,-53.0,-56.0,684.0,453.0,54.0,-69.0,-144.0,158.0,-15.94,-16.8,-11.45,-8.54,50.91,-513.0,-10.077972709551657,4191.0,1.23,10819866.0
204,피엠티(2024/12),244.0,-131.0,-142.0,600.0,309.0,54.0,-57.0,-99.0,242.0,-53.71,-58.34,-37.31,-22.16,94.03,-1315.0,-2.159695817490494,2859.0,0.99,10819866.0
216,서플러스글로벌(2020/12),1256.0,154.0,117.0,2240.0,1349.0,37.0,320.0,-100.0,740.0,12.28,9.31,8.98,5.8,66.07,311.0,10.12,3818.0,0.82,36988000.0
217,서플러스글로벌(2021/12),2066.0,308.0,279.0,2767.0,1620.0,37.0,-36.0,-472.0,953.0,14.88,13.49,18.89,11.13,70.79,749.0,5.85,4598.0,0.95,36988000.0
218,서플러스글로벌(2022/12),2349.0,319.0,258.0,3684.0,1865.0,37.0,191.0,29.0,1117.0,13.58,10.99,14.82,8.01,97.5,691.0,5.05,5293.0,0.66,36988000.0
219,서플러스글로벌(2023/12),1660.0,130.0,56.0,3442.0,1891.0,37.0,-205.0,-239.0,1181.0,7.85,3.35,3.11,1.56,82.0,157.0,23.29,5394.0,0.68,36988000.0
220,서플러스글로벌(2024/12),2516.0,142.0,49.0,4521.0,1929.0,37.0,11.0,-176.0,1939.0,5.63,1.93,2.43,1.22,134.41,124.0,20.6,5527.0,0.46,36988000.0
224,KEC(2020/12),2010.0,-23.0,-449.0,3683.0,1688.0,584.0,142.0,82.0,1000.0,-1.16,-22.31,-24.43,-12.77,118.25,-361.0,-7.562326869806094,1297.0,2.11,125492329.0
225,KEC(2021/12),2675.0,265.0,102.0,4006.0,2791.0,724.0,272.0,111.0,598.0,9.92,3.8,4.41,2.65,43.5,74.0,46.58,1752.0,1.97,155644397.0
226,KEC(2022/12),2562.0,180.0,223.0,4011.0,3046.0,724.0,67.0,-345.0,480.0,7.04,8.69,7.67,5.56,31.67,140.0,12.95,1911.0,0.95,155660527.0
227,KEC(2023/12),2069.0,-330.0,-378.0,4477.0,3567.0,1004.0,-7.0,-113.0,440.0,-15.95,-18.27,-11.8,-8.91,25.52,-215.0,-7.241860465116279,1738.0,0.9,200763141.0
228,KEC(2024/12),2432.0,-133.0,-110.0,4505.0,3491.0,1004.0,299.0,186.0,484.0,-5.46,-4.52,-3.26,-2.45,29.03,-57.0,-13.68421052631579,1739.0,0.45,200763141.0
248,텔레칩스(2020/12),1007.0,-85.0,-94.0,1660.0,924.0,68.0,-154.0,-219.0,324.0,-8.41,-9.35,-9.63,-5.85,79.6,-697.0,-18.65136298421808,7358.0,1.77,13505911.0
249,텔레칩스(2021/12),1364.0,81.0,70.0,2073.0,1063.0,68.0,127.0,-51.0,469.0,5.92,5.16,7.08,3.77,95.02,521.0,33.42,8453.0,2.06,13505911.0
250,텔레칩스(2022/12),1504.0,92.0,459.0,3102.0,1697.0,69.0,-73.0,-593.0,773.0,6.1,30.52,33.27,17.74,82.81,3349.0,3.3,12418.0,0.89,13855911.0
251,텔레칩스(2023/12),1911.0,168.0,626.0,3748.0,2462.0,76.0,78.0,-29.0,834.0,8.78,32.78,30.12,18.29,52.23,4297.0,7.75,16679.0,2.0,15144233.0
252,텔레칩스(2024/12),1866.0,49.0,-386.0,3779.0,2017.0,76.0,57.0,43.0,1265.0,2.61,-20.66,-17.22,-10.25,87.31,-2546.0,-4.988216810683425,13667.0,0.93,15144233.0
256,싸이맥스(2020/12),1729.0,230.0,230.0,1906.0,1296.0,55.0,264.0,253.0,285.0,13.29,13.3,20.05,13.48,47.0,2113.0,9.84,12317.0,1.69,10924243.0
257,싸이맥스(2021/12),2423.0,324.0,242.0,2199.0,1504.0,55.0,360.0,327.0,316.0,13.38,9.97,17.77,11.77,46.19,2233.0,8.96,14358.0,1.39,10924243.0
258,싸이맥스(2022/12),1951.0,212.0,78.0,2260.0,1541.0,55.0,-6.0,-36.0,492.0,10.85,4.0,5.11,3.5,46.69,699.0,16.59,14805.0,0.78,10924243.0
259,싸이맥스(2023/12),1566.0,71.0,118.0,2126.0,1625.0,55.0,276.0,270.0,182.0,4.54,7.55,7.02,5.39,30.81,1008.0,14.32,15902.0,0.91,10924243.0
260,싸이맥스(2024/12),1651.0,234.0,154.0,2274.0,1737.0,55.0,123.0,102.0,153.0,14.18,9.34,9.17,7.01,30.94,1411.0,6.05,16992.0,0.5,10924243.0
264,오킨스전자(2020/12),451.0,8.0,4.0,583.0,308.0,44.0,68.0,-24.0,212.0,1.8,0.88,1.47,0.7,89.16,28.0,477.2,1724.0,7.63,17679298.0
265,오킨스전자(2021/12),593.0,26.0,17.0,774.0,357.0,88.0,101.0,24.0,317.0,4.35,2.84,5.79,2.48,116.94,108.0,249.4,2010.0,13.41,17679298.0
