기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
코스텍시스(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코스텍시스(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자람테크놀로지(2020/12),116.0,5.0,5.0,3.0,3.0,3.0,,168.0,11.0,157.0,157.0,,10.0,2.0,-12.0,,5.0,-3.0,0.0,4.0,2.65,1.97,1.82,7.07,1514.08,71.0,,3634.0,0.0,0.0,,0.0,4278930.0
자람테크놀로지(2021/12),143.0,3.0,3.0,11.0,12.0,12.0,,203.0,21.0,182.0,182.0,,10.0,-23.0,11.0,3.0,4.0,-27.0,4.0,2.04,8.17,6.91,6.31,11.53,1744.96,235.0,,3476.0,0.0,0.0,,0.0,5239830.0
자람테크놀로지(2022/12),161.0,2.0,2.0,4.0,6.0,6.0,,198.0,10.0,188.0,188.0,,27.0,23.0,3.0,-2.0,2.0,21.0,2.0,1.26,3.83,3.33,3.08,5.28,588.49,118.0,,3592.0,0.0,,,,5239830.0
자람테크놀로지(2023/12),116.0,-21.0,-21.0,-20.0,-13.0,-13.0,,377.0,22.0,355.0,355.0,,32.0,-68.0,-31.0,177.0,4.0,-71.0,6.0,-18.42,-10.92,-4.67,-4.42,6.16,1065.91,-210.0,,5784.0,5.19,,,0.0,6197730.0
자람테크놀로지(2024/12),222.0,4.0,4.0,23.0,20.0,20.0,,784.0,359.0,425.0,425.0,,32.0,44.0,-313.0,350.0,2.0,42.0,302.0,1.65,8.95,5.09,3.42,84.49,1223.38,320.0,146.08,6860.0,6.81,,,,6197730.0
자람테크놀로지(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자람테크놀로지(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자람테크놀로지(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이엘씨(2020/12),2451.0,178.0,178.0,122.0,83.0,83.0,,2607.0,484.0,2124.0,2124.0,,61.0,309.0,-326.0,-55.0,4.0,305.0,40.0,7.25,3.38,3.97,3.33,22.78,3287.81,680.0,24.28,17425.0,0.95,600.0,3.64,88.28,12188730.0
이엘씨(2021/12),1863.0,-51.0,-51.0,54.0,25.0,25.0,,2541.0,451.0,2090.0,2090.0,,61.0,98.0,2.0,-32.0,10.0,87.0,89.0,-2.73,1.33,1.18,0.96,21.57,3210.11,203.0,44.66,17151.0,0.53,300.0,3.3,147.54,12188730.0
이엘씨(2022/12),1376.0,-95.0,-95.0,-31.0,-58.0,-58.0,,2329.0,342.0,1987.0,1987.0,,61.0,-40.0,22.0,-114.0,5.0,-45.0,18.0,-6.91,-4.21,-2.84,-2.38,17.2,3057.54,-475.0,,16304.0,0.31,300.0,5.94,-63.21,12188730.0
이엘씨(2023/12),161.0,-73.0,-73.0,23.0,-78.0,-78.0,,2056.0,214.0,1842.0,1842.0,,61.0,111.0,123.0,-131.0,7.0,104.0,62.0,-45.33,-48.67,-4.1,-3.58,11.64,2864.3,-644.0,,15744.0,0.46,300.0,4.17,-44.74,12188730.0
이엘씨(2024/12),292.0,-47.0,-47.0,54.0,-3.0,-3.0,,1897.0,99.0,1798.0,1798.0,,61.0,14.0,7.0,-92.0,8.0,5.0,3.0,-16.02,-0.91,-0.15,-0.14,5.5,2803.22,-22.0,,15368.0,0.32,330.0,6.73,-1444.13,12188730.0
이엘씨(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이엘씨(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이엘씨(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가온칩스(2020/12),171.0,20.0,20.0,19.0,19.0,19.0,,255.0,147.0,109.0,109.0,,4.0,19.0,-31.0,52.0,12.0,7.0,50.0,11.54,10.83,19.46,8.91,134.78,2618.67,320.0,,1235.0,0.0,0.0,,0.0,8800000.0
가온칩스(2021/12),322.0,62.0,62.0,66.0,62.0,62.0,,370.0,151.0,219.0,219.0,,47.0,35.0,-83.0,9.0,26.0,8.0,14.0,19.24,19.18,37.77,19.78,69.21,363.26,677.0,,2319.0,0.0,0.0,,0.0,9428320.0
가온칩스(2022/12),433.0,39.0,39.0,43.0,44.0,44.0,,732.0,188.0,544.0,544.0,,57.0,59.0,-317.0,312.0,61.0,-2.0,38.0,9.0,10.2,,,34.55,843.48,412.0,34.47,4734.0,3.0,0.0,0.0,0.0,11488320.0
가온칩스(2023/12),636.0,44.0,44.0,54.0,63.0,63.0,,946.0,326.0,620.0,620.0,,57.0,57.0,-93.0,-4.0,68.0,-11.0,71.0,6.84,9.98,10.9,7.56,52.55,953.93,552.0,103.58,5398.0,10.6,0.0,0.0,0.0,11488320.0
가온칩스(2024/12),965.0,35.0,35.0,55.0,75.0,75.0,,1127.0,434.0,694.0,694.0,,58.0,108.0,13.0,-6.0,95.0,13.0,71.0,3.65,7.8,11.46,7.27,62.51,1083.63,655.0,59.72,5980.0,6.54,,,,11597320.0
가온칩스(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가온칩스(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가온칩스(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
