기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
KCC,63142.95,3846.95,1649.65,130612.5,53149.0,481.0,5846.25,50798.25,5.999499999999999,2.741,4.1315,1.338,146.0565,23164.45,6.266304347826088,682980.75,0.343,8886471.0
KG모빌리티,34497.05,-1029.9,-899.85,24458.5,8917.3,9025.6,-3.8,2533.95,-3.6925000000000003,-3.3825000000000003,9.20449999999999,-5.0375,-418.53899999999993,-5998.85,49.331542097877715,3254.15,0.29341954950674737,146912362.25
KT,257798.05,13625.0,9390.95,403777.85,177623.85,15645.0,49232.35,108448.5,5.3,3.6665,5.844499999999999,2.421,127.13699999999999,3525.3,12.556,65079.2,0.5425,257572009.1
KT&G,56983.6,12500.65,10440.9,127234.6,92934.9,9550.0,10799.1,6871.6,22.0995,18.391,11.370999999999999,8.4545,36.852,7747.25,11.976999999999999,80786.4,1.139,132845997.0
LG,69999.35,16031.95,15705.55,292605.05,258179.05,8093.8,9841.6,7806.15,23.211499999999997,22.776500000000002,6.1705,5.7475000000000005,13.515,8669.9,11.853,158167.6,0.516,158826606.8
LG디스플레이,254555.1,-8817.9,-18136.7,351646.8,103658.2,20023.7,28373.05,148733.3,-4.063999999999999,-7.541000000000001,-23.1235,-5.1135,253.408,-4483.85,-7.231897949662456,21331.6,0.6255,427142728.8
LG생활건강,71801.05,7172.0,3641.8,73008.15,54963.45,886.0,6706.7,4330.95,9.738999999999999,4.85,6.866,5.1185,32.952,19538.7,37.4505,321071.9,2.085,15618197.0
LG에너지솔루션,301246.55555555556,13652.0,12565.777777777777,422647.8888888889,226936.33333333334,1170.0,22113.11111111111,96776.33333333333,4.5566666666666675,4.050000000000001,6.083333333333333,3.287777777777778,86.22444444444444,4406.111111111111,103.48666666666668,83538.66666666667,5.167777777777778,234000000.0
LG유플러스,141813.35,9601.6,5408.9,196330.15,84685.7,25740.0,32108.75,71477.1,6.781499999999999,3.8325000000000005,6.933,2.779,132.11049999999997,1269.4,9.2105,19065.65,0.586,436611361.0
LG이노텍,186254.65,9315.9,6289.05,99383.25,43778.8,1183.0,14337.25,22969.05,5.2875000000000005,3.46,16.6545,7.108499999999999,128.9975,26572.85,9.5705,184997.0,1.364,23667107.0
LG전자,804695.85,36486.45,12563.2,586229.45,227054.45,9042.0,41172.4,133406.8,4.6265,1.6400000000000001,5.0585,2.3265000000000002,158.623,4862.55,26.264499999999998,106302.2,0.9855,163647814.0
LG화학,480797.25,18244.95,17682.75,729279.6,374899.6,3914.0,55123.45,204212.8,4.031499999999999,3.726,4.8685,3.0865,97.32250000000002,14026.7,18.442416430594896,375698.9,1.464,70592343.0
LIG넥스원,24375.6,1723.1,1548.65,40401.6,10031.05,1100.0,5331.85,4154.35,6.93,6.212000000000001,16.256,4.313000000000001,292.81399999999996,7108.6,17.281,45675.15,2.6879999999999997,22000000.0
LS,208506.7,7679.3,5018.25,172312.85,60821.85,1610.0,4913.5,71634.45,3.6175000000000006,2.5735,9.585,3.1515,182.048,12211.0,8.875499999999999,155898.5,0.515,32200000.0
LS ELECTRIC,37391.0,2722.7,1641.7,36168.9,16702.5,1500.0,1377.15,10096.7,7.025499999999999,4.1995000000000005,9.8675,4.655500000000001,114.6585,5413.0,17.662,56134.5,1.6024999999999998,30000000.0
